text,sentiment
"Pekerjaan loe gaada harganya 😂, mending cari cara gimana caranya kerja di luar negeri. Cuci piring kerja 2 minggi dah dapet iphone terbaru di negara maju😂",negative
"boros di 
MBG nya",negative
Harus coba ahok jd presiden,neutral
Ngeri komentarnya banyak buzzer2 bayaran asing. Semoga masyarakat indo bs kuat,neutral
2013 mulai jaman president ngebor utang kan,negative
"Selama domestik dan fiskal masih begini ya jgn harap apa""",negative
Singkat saja. Semua investor kabur,negative
"sebenarnya nilai tukar MATA UANG turun itu gak masalah asal NERACA PERDAGANGAN EKSPOR kita kuat, China malah dengan sengaja menurunkan nilai mata uangnya agar produknya keliatan lebih murah, masalahnya kita itu negara PENGIMPOR dari mulai minyak, biji plastik, gandum, gula, kedelai, bawang bombay bahkan garam, prediksi terdekat 18.250/1$ jika JEBOL 22-25rb/1$ 👈",negative
"Please keep creating, mas leon! Thank you",negative
INDON dan INDOIS PPH nya 0% karena masih ditanggung Pemerintah ko Leon,negative
"Saya yakin klo program MBG ditunda terlebih dahulu Rupiah akan menguat, tinggal Ego pemimpin apakah bersedia itu salah satu cara mengembalikan kepercayaan Publik.",neutral
Yg nyoblos kmrn nyesel ga ? Teddy bear dan bapak presiden kok opini nya ga peduli begini,negative
"Klu di desa memang kebutuhan makanan ya masih cukup terpenuhi tapi transportasi, obat2an, pupuk jg masih beli dan tambah mahal",neutral
"Aku mau pindah ke desa ah
Kan gak pake dollar",negative
Hari ini ada info dari menkeu klo siapkan dana 420 T untuk buy back SBN apa ini langkah yg tepat ko leon buat turunin rupiah ?,neutral
Penguasa sudah tidak dipercaya lagi ..,negative
MASALAHNYA ADA DI PRESIDENNYA SI PRABOCOS DAN MENTRI2NYA TERMASUK SI PURBACOT YANG DENIAL BIKIN EKONOMI AWUR AWURAN,negative
ok...back to sleep,negative
"yah begitulah kalo kita dijadikan sapi perahan....kita bener2 udah jadi hewan piaraan di kandang yg bisa diperas tenaga, uang, skill dsb2, untuk keuntungan orang2 yg mengelola.",negative
"Saya pikir perlu ada Action ya dari Pemerintah untuk berkomunikasi yang balance dan transparan dengan rakyat. Pemerintah harus peka dengan Topik yang lagi hangat yaitu Dollar Menguat dan program unggulannya, terus dampaknya ke rakyat apa. Karna walau bagaimanapun kan mereka yang memiliki wewenang untuk kebijakan. Data harus terbuka dan valid sifatnya, agar acuan diskusinya sama. karna, kalo datanya gak sama percuma dibahas gak bakal nyambung. 
Ibarat anak mau ngomong sama Bapaknya, gak pernah kejadian, akhirnya komunikasi jadi ruang hampa. Nah Ruang Hampa komunikasi ini yang selalu jadi masalah antara Pemerintah dan Rakyatnya. Padahal semua masalah bisa di selesaikan kalo ad komunikasi. masa satu intansi suatu kementrian gak ada sih yang bisa diajak komunikasi. percuma. kita hub call center mereka,. karna sifatnya kan satu arah doang.",neutral
"Edukasi yang sangat bermanfaat, semoga sukses ko Leon",positive
"Emas, Silver, Property, collectibles gak dibahas? Itu bisa jadi alternative investasi juga gak? Low risk atau high risk? Direcommend gak? Mohon masukannya. Trims",neutral
"Kalo gold masuknya ke less atau high risk ko? 

Soalnya kalo USD dijelaskan dalam indeks aja lagi melemah sama mata uang negara lain,",neutral
dikit lg  rp.17.845 perdollar . mungkin ini ingin dicapai pemerintah mendekati hari kemerdekaan pak,negative
wkwk panjang lebar penjelasan eehhh..ternyata biang keroknya cuma  MBG dan Kopdes MP😂😂😂,negative
"AYO KORUPSI LANJUTKAN
ANCURKAN NEGARA INI
KORUP ITU ENAAKKK",negative
"Perusahaan2 swasta dan bumn telah bekerja keras, tapi pemimpin2 dan dpr dprdnya hasil money politik yg pasti berharap uangnya kembali, sukur2 cuan luber",negative
"terima kasih pelajaran nya,50 menit saya nonton saya gak ngerti yang di omongin.serius",negative
"menterinya YES MEN pula, haus validasi pula, udah combo maut",negative
"Cmiiw, kupon dan capital gain INDON INDOIS bebas krn ditanggung pemerintah.",negative
kasian zimbabwe disalahin mulu :),negative
"Sudahlah tak usah pake data anak smp aja tau kenapa rupiah lemah. 
Mbg asuuuuu hapus",negative
Pembanding antara uang dong dan uang  rupiah  vs uang dolar dari tahun 2010 ... 2026,neutral
"Stop menyalahkan asing, aseng! Jangan playing victim, Indonesia gabisa maju karena kita dijegal, bullshit! Yang bikin rusak ya pemerintah beserta sistemnya!",negative
"Cukup aneh tapi nyata. Sejarah terulang dengan sendirinya. 

Sudah rutin berdoa selama bbrp tahun untuk kemakmuran bangsa ini. 

Tapi faktanya: Rakyat Indonesia seperti ayam yang mati di lumbung padi. Sedangkan penguasa terlalu boros, ugal-ugalan pakai uang rakyat, anti kritik dan terlalu otoriter. Sangat menyedihkan. 

Sampai kapan akan muncul Ratu Adil?",negative
PRABOWO PRESIDEN MBG (MALING BERKEDOK GIZI) 😅😅,negative
2035 semoga IDR tembus 25-30 ribu biar gue makin cepat pensiun 😇,negative
"Santai aja bos...
Ntar 17 Agustus Nilai tukar kbakalan di 17845",negative
Ini namanya krisis global utk seluruh dunia bkn hanya Indonesia,neutral
"Masalah nya satu MBG yg ngawur, kayak bunuh nyamuk pake granat, tidak mengena, jadinya pemborosan, yg ujungnya bikin fiskal tekor dan rupiah tersungkur",negative
"geng soros  lagi kenceng ato abis2an amunisi nih face-blue-smiling, panas2xin terus lewat lsm spt: cel10s, kurungkurawal plus profesor2 bayaran dan media2x semacam tempe dkk plus tambahin nobar party bab1 di lapis lagi persiapan demo Pelangi. WAHAI RAKYAT JANGAN MAU DIPANAS2I OLEH MEREKA2 INI, NANTI MEREKA PULA YANG MENIKMATI DARI KERIBUTAN YANG MEREKA RANCANG INI",negative
"Keadaan sdh spt ini tdk ada yg bisa saling mdnyalahkn bkn hanya Indonesia sj tp berdampak utk seluruh dunia semua ini krn pengaruh perang jdi berdampak utk seluruh dunia tdk boleh saling mdnyalahkn, bagian kt masyarakat hanya doakan sj spy ekonomi Indo membaik spy rupiah bisa menguat",neutral
SELAMA JIWA PEMIMPIN NYA JIWA MALING.. IDR AKAN TETAP MELEMAH.. KRN INVESTOR GA PERCAYA KRN BYK MALING..,negative
Mau di kota mau didesa sm sj km jg hrs mkn utk blanja ya pake uang yg sama rupiah kt hanya bisa doakan spy ekonomi membaik aja rupiah bisa menguat smua jg pengaruh dr perang kok,neutral
Aku hanya berharap ke LANTAI KAMAR MANDI,negative
Sudah saatnya fufufafa turun tangan membenahi anjloknya Rupiah 😊😊😊,negative
Ya di Lumajang juga nasi pecel masih 11 k,neutral
Extrapolasi ???,neutral
"Indonesia gak cocok demokrasi,,Indonesia harus di pimpin oleh pemimpin yang tangan besi,,parpol cukup 1 saja",negative
cara menguatkan rupiah jual hasil tambang nikel dan yg hanya dimiliki oleh indonesia dengan rupiah bukan dollar. jadi rupiah dihargai oleh dunia. jadi yg mau beli harus tukar mata uangnya ke rupiah dulu .,neutral
Bisa di cek lagi INDON free tax,negative
"Harga minyak goreng naik luar biasa, pemerintah kurang open terhadap kenaikan komoditas ini sebenarnya HET untuk minyak goreng itu brp ?",neutral
Ada postingan Andri hakim nyesel pilih Wowo itu hoax atau ga ya,neutral
"kenapa bukan orang seperti bro leon yg menjabt di instansi terkait yah,",neutral
"Aku nggak ngerti ekonomi, tapi merasakan sulit n sakitnya kondisi masyarakat Indonesia komunitas import seperti kedelai dll udah pasti ada pengaruhnya dg nilai rupiah yg sangat lemah, begini kok dibilang rakyat di desa tidak mengerti/tidak tahu dollar, gimana sih Mr. Presiden !!!",negative
"Terima kasih bang, sudah menjawab dengan ilmu dan logika yg masuk akal dan mencerahkan, semoga sehat selalu bang, pelemahan rupiah saya yakin BI tidak bisa membaca pergerakan ekonomi, tindakan, seharusnya BI memberi insentif menurunkan suku bunga kredit menjadi 1% pertahun kepada pelaku UMKM yg fokus export ke luar. Dan UMKM bisa pinjam uang untuk mengembangkan usaha Dan seharusnya BI bekerja sama pemerintah untuk menggalakan dan mendidik mencetak UMKM yang bisa usaha untuk export, baru dolar banyak masuk dan jika banyak dolar us di Indonesia maka otomatis dolar jadi murah, untuk pelaku dolar yg parkir di Singapore atau luar negeri harus diancam pemerintah dengan hukuman yg berat sebab mereka yg membuat dolar us hilang akhirnya dolar menjadi mahal.",neutral
"loe mau harap apa sama presiden yang menang karena MANIPULASI?! menang karena ""diendorse?! ternyata gak lebih pinter dari presiden sebelumnya. sadar gak sih dia itu presiden? presiden kok asbun?! indonesia bubar 2030 ehh ternyata dia yang bikin, SURAM BOSS!!!",negative
Bukti nyata negri avg 78IQ....amburadul,negative
Usd tidak mengguat lihat aja chart dxy usd sideway ini gak ada naik signifikan chartnya tapi coba lihat chart sgd dan mata uang lain seperti swisfr dan ringgit naik kuat banget berarti ini orang juar rupiah untuk beli sgd ringgit dan swiss soalnya kalo harusnyabusd menggust chart usdt dominance dxy mengguat ini gak mengguat sideway usdnya,neutral
"Lapor Bos, di surabaya sarapan lontong balap masih 12k, nasi madura 8k, ketan bubuk kedelai 6k. Nanti kalo dollar 20k saya info lagi😂",negative
"Solusi nya paling gampang export harus wajib pakai IDR,kalo berani ikuti cara rusia dulu saat rubel melemah",neutral
"Berdoa untuk Indonesia guys, kita komen negatif juga tidak akan memperbaiki keadaan. Kita diminta menggantikan menteri bahkan presiden juga sepertinya tidak akan bisa. Semoga orang sadar begitu memalukan dan merugikan korupsi itu, ingat hidup hanya sekali dan semua akan mempertanggung jawabkan perbuatannya di depan pengadilan akhir.",neutral
Perusahaan coal ama CPO mau diperas itu 😢... Taik bener lah,negative
"Rupiah diserang biar lemah...
Aku beli saham² selagi murah ini...

Gk lama lagi akan naik..
Negara lain gk suka indo jaya",neutral
Makasih Ko Leon utk edukasinya... slalu butuh hack utk melindungi nilai asset & cara nambah invome di saat kondisi ekonomi yg sangat buruk ini😢,neutral
"Edukator dan investor seperti Bro Leon dan Bennix ini penting banget buat masyarakat Indonesia, Media berita sekarang susah di percaya...",neutral
"Currency itu gpp melemah bahkan bagus klo indonesia itu negara industri, supaya barang kita laku…

Yg jadi maslaah kan konglo kita bukan industrialis, yg didukung sama prabowo malah pengusaha2 kelas SD yg cuma bisa jual komoditas mentah, sementara barang jadinya impor semua, blom bbm yg impor dari sgd (selamat buat para pengguna mobil bbm yg udh jadi penyumbang devisa ke singapore 😂😂😂😂)…",negative
Terlalu boros pemerintahnya 😢,negative
"3 Fase:
Fase 1 (Sebelum 98): Sebelum Krismon
Fase 2 (1998 - 2013): Reformasi
Fase 3 (2014 - Sekarang): Jokowi dan penerusnya",neutral
"Sepertinya ada juga yang senang dan diuntungkan dengan melemahnya rupiah terhadap dolar, mereka yang punya simpanan uang dolar atau digaji dengan dolar akan memamfaatkannya dengan menukarkan uangnya ke uang rupiah, jadi hanya sebagian kecil saja yang diuntungkan dengan melemahnya rupiah, mungkin termasuk koruptor yang punya simpanan dolar makin tambah kaya",negative
"Pelajaran penting untuk setiap generasi....mungkin generasi2 yg sekarang gak tau siapa yang dia pilih, dan gak mau tau siapa yg akan dia pilih....... Lain kali pelajari benar2  siapa yg akan kalian pilih.",negative
njir jadi buzzer,negative
"Intinya pejabat di negeri ni, terlalu biadab.",negative
"Bro Leon berusaha membuat orang tidak panik, tapi dengan tidak panik maka tidak akan ada solusi.",negative
"with all those denials from goverment, kenaikan 7,5% dalam satu tahun terakhir bukan tidak mungkin menjadi ratusan persen seperti 98. my point is, perlu banyak narasi narasi keras yg apa ada nya saja, supaya kita “sadar” kalo kita ini dalam track yg beresiko tinggi seperti the econimist media said. terlalu banyak narasi “menenangkan” scr psikologis, tp tidak menitik beratkan pada seberapa berbahaya nya kondisi kita skrg ini. ugly truth saying lebih menyembuhkan darpd narasi narasi yg tersebar di media. khususnya narasi yg berasal dari goverment ya. kerusakan parah lingkungan, kehancuran mata uang, bobroknya pasar modal, sistem meritokrasi yg sangat corrupt, and so on. we are doomed guys. kita sedang berada di titik mau collapse sebagai nation. think about it",negative
bang leon th 98 pejabat pinternya lebih banyak dari pejabat sekarang.😂🤣😂🤣,negative
PUPUK KANDANG NDA PAKE DOLLAR TO?? BERISIK KALIAN NETIJEN,negative
Sebenarnya ini kesempatan untuk memperkuat industri ekspor karna kurs kita punya keunggulan,positive
"Speak with Data, heran kalau ada yg masih bilang semua salah external factors",negative
"tapi belum bisa prediksi akan dikali sama dengan 9 bulan kedepan, semoga dunia segera damai 😇",neutral
"Hampir sama aja gw tinggal di desa & kota, intinya gedein earning power sblm menyesal. 😊🎉",negative
warga desa tidak membeli Indon ko,negative
Kita di desa juga ambyar bos. Terutama sektor peternakan ancur-ancuran. Harga kandang telur sekarang 22.000 padahal harga yang dipatok pemerintah 26.000. harga kambing saat ini adalah harga terendah dalam 10 tahun terakhir. Malah pada mau pindah ke desa.....😂,negative
"USD memang rata menguat, ditambah jgnlah malah koleksi $",negative
"USD di data2 tersebut hanya bukti bahwa dollar tidak pulang ke USA seperti yg orang2 bilang, jadi mayoritas dollar masi keluar dari amrik. Tapi leon mengabaikan data lain bahwa negara2 yg mengimpor minyak cenderung turun dan negara2 yg mengekspor minyak cenderung menguat. Jadinya kesannya kayak pelemahan rupiah terhadap dollar hanya terjadi di Indonesia saja. Silahkan cari aja negara2 yg ekspor atau impor minyak kayak gimana currency nya selama perang USA Iran ini. Di beberapa negara lain bahkan sampai melarang mahasiswa pergi ke kampus, selain untuk hemat bbm juga agar mahasiswa nya gak demo besar yg bisa berujung diturunkannya pemimpin negara.",neutral
"disini harus ksih jatah preman, bukan preman ormas, itu mah preman abal2 yang gak pengaruh banget. preman yang di senayan",negative
"Yang pusing ya itu yg suka keluar negeri, hari ini pidato apa lagi ya beliau😂",negative
kita udah ga di fase cari cari masalahnya dimana? urusan solusi aja udah bnyk di tawarkan ekonom2 senior. cuma pemerintahnya BUDEK...,negative
"Intinya yg salah 90% DPR tp DPR nyalahin gubernur BI,KONOHA memang penyakitnya di DPR dan partai",negative
"Mo dolar berapa ribu kek ,rakyat di desa kan gapake dolar",neutral
"Buzzer tidak suka video ini

Auto buka valas cik 😁😁",negative
Betul. solusinya pindah ke desa. No Dollar No IHSG,negative
Biasa yang bikin gonjang ganjing lawan politik,negative
"Hentikan pajak selama 5 tahun, dana MBG gunakan untuk mengcover pajak, ekonomi di bawah akan jalan, investor datang, lapangan kerja akan ada lagi, umkm jalan lagi, itu solusinya",neutral
"Masalah nya bukan di keilmuan ekonomi kita yang tidak bagus, tetapi memang PEJABAT INDONESIA tidak ada niat untuk memajukan dan memperkuat Negara INDONESIA. Mereka (PEJABAT) taunya CUAN from negative side income alias KORUPSI.",negative
PRESIDEN ANJING,negative
"Faktor umur Presiden tidak bisa di pungkiri, penasehat sih teddy, disekelilingnya anak didiknya, siapa yang berani memberikan masukkan yang bener, yang penting manisan dikasih biar makin gemuk presiden senang😂😂😂, kalo yg luar menasehati di katain ANTEK ASENG, udah gak ketolong paranoidnya Presiden, semoga segera bubar dah",negative
"beli usd, emas dan pegang cash. jd petani dan peternak. 😊",negative
Bro Leon minus BRP portonya hahahhaa,negative
gila emang cino jowo menghancurkan negara ini 😂,negative
"Capital flow 45%, goverment policies 40%? Seharusnya goverment policies lebih dr 50%, karena goverment policies juga mempengaruhi capital flow. Every thing dipengaruhi goverment policy, termasuk export import (tarif, so on)",neutral
"gua uda nukar ke SGD setiap gua gajian bang, ini bakal lama soalnya guys. lo pada tau ga sih pajak bakal dinaikin TAU !",negative
"Lol gw bukan ekonom pun ga ngerti banyak soal ekonomi, gw cuma pake logika sederhana aja, banyak negara2 yang diserang ekonominya ataupun pariah (diisolasi) kaya Turki, Iran, Korea Utara, Rusia tapi mereka ga goyang kaya langit mau runtuh ketika inflasi mata uang. Berapa persen Turki kehilangan kekuatan liranya? gila itu, lho kalau di Indo orang udah keluar ngejarah dan rusuh, kenapa Turki engga? karena kebutuhan mereka akan impor itu minim, melemahnya lira ga jadiin Turki krisis pangan, lha kita gimana? kedelai, yang jadi makanan utama kita aja, 90% lebih kebutuhannya di impor dari luar, 75% dari AS, beras? impor, daging? impor, orang cukai sama tengkulak asik megang duit, giliran krisis pangan, makan tuh duit. Gila ya, anjing emang, mereka enak2an exploit ini negara digerus abis dan sekarang satu negara yang bayar akibatnya. Kalau krisis pangan, itu duit2 proyek ga bisa dikunyah, mereka lupa apa??",negative
"Halo master. Ada miss nih
Indon tdk kena pajak. Bebas pajak",negative
"Mahal ilmu bang, terima kasih banyak",negative
Turunkan prabowo gibran. Kabinetnya kabinet bagi-bahi kue isinya bocil-bocil nggak kompeten.,negative
Harus digulingkan si omon2,negative
kurang menarik klo di  indonesia soal less risk,negative
"Klo gw pake logika sederhana.
Tahun dpn akan mulai perjanjian dagang Indo dgn Uni Eropa & bbrp negara lain, ditambah AS ksh tarif 0% produk2 Indo.
Investor pasti liat potensi nilai dagang & peluang inves.
Lembaga Rating Internasional sengaja kondisikan saham & rupiah anjlok,
skenarionya investor global borong saham2 murah meriah yg punya fundamental kuat.
Ibarat klo harga normal dpt sekian, tp krn anjlok bs dpt lebih byk saham.
Pola yg sama ke negara yg kena krisis ekonomi (Yunani) yg saham2 fundamentalnya kuat dikuasai investor global.
Jangankan ekonomi, mo perang aja bs disetting biar punya pembenaran
🤣🤣🤣🤣🤣🤣🤣",negative
"Engak usah ribet...contoh thn 98-99 kalau mau Dollar USD turun...syaratnya ajukan Pinjaman ke IMF/Bank Dunia ...pasti akan turun Krn mereka yg Drive nilai tukar....

Nilai tukar melemah agar pemerintah intervensi sampai habis devisa yg ada...selanjutnya ajukan pinjaman ke IMF/Bank Dunia ...engak lama Nilai Tukar akan Naik...sejarah sdh membukatikan",neutral
kami si mengharapkan lantai kamar mandinya belumut si ko,negative
Harga daging 1998 18 rb sampe 25 rb beda tapi jgnnpada ngawur,negative
"Pemerintah nya bebal, udah banyak yg bilang MBG itu program gak ada manfaat cuma jd beban keuangan negara ehh tetep aja program itu di jalankan,  blom lg program koperasi desa merah putih.
Susah punya pemimpin yg NPD, gak jauh beda kyk Trump 😂",negative
teruntuk IHSG hari ini secara broksum justru banyak domestik yg out koh,negative
"Kondisi kurs hari ini, kelahiran Gen Z merasa sok ekonom membandingkan kurs 98.",negative
"Beberapa komentar yang mendukung revolusi dan asal bilang lengserkan pemerintah itu sangat naif. Revolusi macam itu gak bawa kebaikan apapun. Hanya utopia naif. Cuma buat asing gak percaya dengan pemerintah dan akhirnya pemerintah baru juga harus semakin keras untuk legitimasi kekuasaan mereka.
Mengganti para manusia peternak dengan babi yang pd akhirnya babi2 itu bertingkah lebih kejam ke ternak2 lemah lainnya dari pada manusia peternak di awal",negative
"👍 cuma spikes bisa akselerasi, batasnya bisa langit!",neutral
"Sederhana saja kalau masalah ini
Beda dengan tahun 98 ya

1. Saat orang2 yang banyak duit pada ingin menukarkan uang rupiahnya dengan dollar pada BI , stok dollar di BI sangat tidak sebanding dengan banyaknya orang yang butuh dollar.

Akhirnya bi memanfaatkan situasi untuk menaikkan nilai tukar dollar pada rupiah.

2. Saking banyaknya orang2 yang nyimpen dollar di rumahnya dan diluar negri, 
Otomatis persediaan dollar di BI berkurang, menjadi stoknya sedikit.

4. Banyak eksportir yang mendapatkan dollar, tapi dollarnya disimpan di bank luar negri.

Intinya setiap ada orang orang yang mementingkan keuntungan pribadi, 
Pasti negara mulai goncang, dan masyarakat miskin sengsara😅😅",negative
"Tidak banyak presiden mengucap gpp currency melemah.
yg penting doi asal ketemu podium tereak2, anakbuah tepuktangan, udah senang mereka.",negative
"100% ""kepercayaan itu mahal""",neutral
"Pasti bukan gara gara MBG...bukan krn MBG...bkn karena beli alat tempur...bkn karena ponakan nangkring jd petinggi BI...ini gara gara kebanyakan orang orang kota, kebanyakan anteq anteq ngasing, kebanyakan Indonesia ngelap",negative
Aq di desa baik2 aj makan lacar tidur nyenyak tiap malam juga masih  bisa nongkrong2 ngopi bareng ma tetangga,neutral
Solusinya SWASEMBADA pemimpin/para pejabat yg competency BUKAN SWIMSEBADAK BERAS yg data nya di pelintir si mentan gila validasi!,negative
Ta tapi kan kata si benix rupiah lemah supaya ekspor meningkat.. 🤣🤣🤣,negative
TSLA kedepanya masih bagus GK Koo. aku mulai beli TSLA pas kamu bikin conten 2025 bulan 7 tgl 20 itu aku beli udah cuan +47% Mayan ko,positive
Tadi IHSG udah ijo Udah santai aku tinggal nelvon kawan GK mantau psr saham eh pas jam2 dipantao udah  mines 6% beli pagi. tinggal nelvon 47jt melayang agak nyesek takira udah aman SII IHSG 6400,negative
sudahlah gulingkan saja rezim ini,negative
😢,negative
"Rupiah melemah terhadap dollar itu malah sangat bagus untuk para eksportir. Jangan khawatir kawan, saatnya kita cuan dollar !!!",negative
Serius shooting nya jam 2 pagi😂,negative
Presiden kita ga terima kritik. Rakyat kritik malah dilawan sama dia. Sangat2 Denial bngt dah. Dia lupa krn siapa dia bs jd presiden. Skrg da jd presiden malah lupa diri!,negative
"gapernah liat ko leon gemeteran gini suaranya, cuma bisa bilang borong dolar, saya abis beli 4000 usd, 3000 eur",negative
"bagi yg melihat peluang mml dan asli adalah saham yg anti badai,menurut saya cenderung harga di jaga.ada peluang untuk growing.",positive
Ancuurrrr,negative
"Akar masalahnya: Kenapa harus ngikutin Tren Penurunan Susu Ibu? Susu Ibu masih bisa menguat loh kalau di emut, di jilat!! Ini Rupiah kok loyo terus tiap hari ya!!!!",negative
"Jgn lupa 2029 ganti rezim, jgn sampai NKRI bubarrr",negative
"Paling logis ya beli stable coin USDT,USDC terus loe staking dgn APY 3-6% dilokal exchange atw 8-9% di foreign exchange sperti OKX, Bybit, maybe 6-7% binance.lebih simple dan logis menurut gue dbanding beli obligasi Indon potongannya gede klo musti dtarik sebelum jt tempo. Oiya stable coin loe bisa staking dgn flexi earn jd bebas penalty potongan ya paling kna fee beli jual aj.keren kan",neutral
"Kalo gw perhatiin, semakin menakutkan kondisi ekonomi & semakin seremnya kolom komentar, bisa jadi ini justru waktunya masuk ke saham, bisa ini justru jadi waktunya jual dollar apalagi yang udah beli di 14k-15k dan masuk ke Rupiah & saham bank big 4, karena investasi jangka panjang yang berhasil HAMPIR SELALU dimulai dari kondisi ekonomi yang gak baik-baik aja. Dan sekarang ekonomi Indonesia memang lagi gak baik-baik aja. 

Itu pendapatku, silahkan bikin keputusan masing2.",neutral
"Qta selalu mncari masalah tuk diri cndiri. Buat Mbg tnpa hitungan jelas, implementasiny kacau balau, dalang korupsi baru.. Coba tny dapur or supplier hrusny dh ngerti gmn pasarny berjalan.. 

Skrg defisit sibuk cari sunber baru, gali sana sini buat mrket ga tenang. 
Buat pernyataan tnpa pikir, awalny kirain pura-pura gtu, eh mngkin bneran... ... ... 
Suka ya cari problem lalu denial akan problemny lagi, 

Sejujurny qlo ga kompeten mending duduk diam aj, ykin hidup rakyat better..",negative
Bayangin aja dxy nantinya menguat maka laju pelemahan idr makin cepet lagi😊 kalo bagi saya biarin aja usd ke 30rb sekalipun biar gahobi impor mau bbm hilang dari bumi pertiwi juga terserah😂 negri ini dah terlalu rusak karna dikuasi para lansia2 pikun,negative
Kalo mahasiswa tidak segera turun ke jalan gua bakalan pindah ke desa biar tidak begitu terkena dari imbas dolar,neutral
"Jangan simpan rupiah lama"" 
Gajian langsung belanjakan kebutuhan sebulan, sayur, beras, minyak dan bumbu"" dapur",neutral
"JANGAN LUPA, PELEMAHAN RUPIAH SEKARANG INI WALAUPUN CUMA 5%+- TAPI DI TIMMING YANG FATAL KENAPA?
""KARNA HARGA OIL LAGI NAIK-NAIKNYA"". Dampaknya > Subsidi Membengkak > Defisit Melebar > Investor Takut dan Keluar > Rupiah  Makin Melemah.
 Dan lucunya BI disalah-salahin pdahal kalo yang ngerti malah kondisi BI sekarang sama kayak ditumbalkan pemerintah. 

akar permasalahannya: ini akumulasi kesalahan dari pemerintahan-pemerintahan sebelumnya ditambah pemerintahan sekarang terlalu agresif membuat program baru.",negative
tapi koh . kenapa faktor hutang Indonesia tidak di masukan. apakah hutang Indonesia itu tidak ada pengaruhnya.,neutral
Ayooo revolusiiii🎉,negative
Komposisi kementrian abal abal.,negative
"Menantu dan mertua sama aja , akan di gulingkan",negative
TKI mengalami kenaikan gaji yg lumayan semoga dapat menyumbang dollar ke desa tempat mereka tinggal,neutral
OTW 17845 memperingati kemerdekaan RI,negative
"itu effect domiino, 1 orang menggeluh, baik personal atau emang PESURUH ASING buat propaganda di sosmed-YT menular ke 1rb orang ke 1jt orang, investor membaca itu, mereka takut, dan buru2 menarik dollar yg di investasikan ke indonesia, pasti runtuh KURS rupiah. BELUM LAGI NEGARA2 YG BENCI SM KITA, MAKIN membuat ketakutan2. mau ganti 100-1000x pemimpin, klo Rakyatnya karakternya PESIMIS OVER percayalah, kehancuran ekonomi akan terulang terus menerus,,yg rugi ya bukan orang lain",negative
"jejak dulu, jokowi merusak rupiah",negative
grgr prakontol kang joget,negative
"Satu saja masalah di indonesia leon, semua pejabatnya korup di indonesia",negative
Thank you udah buat video ini di saat para subscriber lagi khawatir. GBU bro,negative
2014 ke atas itu ya sejak Jkw menjabat.,neutral
"Suara yg nanya pertanyaannya lemes amat ko, udh kek rupiah aja 😂",negative
"Dxy melemah, tapi rupiah lebih sampah karena pejabat dan pemimpin kita jamban",negative
"Banyak desa pakai dollar... banyak money changer.

Desa adat kuta 
Desa adat ubud dll..",neutral
idr melemah bukan usd menguat karena sgd chf aud juga naik semua,neutral
Pernyataan si Wowo malah disambut tepuk tangan satu forum 😂😂 apa yg bisa diharapkan dr pemerintahan seperti itu! Yg penting MBG dan kopdes cair 😅,negative
P,neutral
"Hopeless, selama pemerintahan nya belum ganti. Karena komposisi kabinet dan jajarannya tidak sekompeten 1998. Hampir tidak ada profesional di bidangnya 😢.",negative
"IDR yg melemah ke hampir semua mata uang negara lain, dengan euro melemah, dengan singapur dollar melemah, dengan ringgit melemah, dan beberapa mata uang asean lain juga melemah, apalagi dengan mata uang yg kuat lainnya juga melemah",neutral
Gimana Prabowo ajah lah kita mah 😂😂,negative
"Malem banget Ko Leon, nontonnya besok aja deh, pusing dollar naek terus 😁🙏",negative
Idr yg melemah... Kerna rm menguat vs usd...,neutral
17845,negative
